fold,threshold,roc_auc,pr_auc,f1,precision,recall,accuracy
1,0.5,0.9993449066491975,0.999606008508012,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.9824561403508771
2,0.42000000000000004,0.9929577464788732,0.9956012409036428,0.9395973154362416,0.8974358974358975,0.9859154929577465,0.9210526315789473
3,0.47000000000000003,0.9875992063492063,0.9902810555528869,0.9863013698630136,0.972972972972973,1.0,0.9824561403508771
4,0.32,0.9986772486772486,0.9992515432098765,0.9795918367346939,0.96,1.0,0.9736842105263158
5,0.5800000000000001,0.9956405097250167,0.997216811165012,0.9793103448275862,0.9594594594594594,1.0,0.9734513274336283
